hour_of_day,day_of_week,is_weekend,month,day_of_month,temperature,precipitation,weather_condition,humidity,wind_speed,line_number,vehicle_type,vehicle_number,brigade,route_segment,direction,stop_name,planned_travel_time_min,delay_minutes,delay_category,delay_ratio,is_delayed
18,4,False,6,3,33.6,0.4,fog,92,0.7,1,tramwaj,RG384,59-06,Borek Fałęcki–Kopiec Wandy,Czerwone Maki P+R,Krowodrza Górka P+R 03,25,7.8,significant_delay,0.312064,True
22,6,True,6,23,30.3,1.0,cloudy,62,0.3,52,tramwaj,RP479,46-04,Salwator–Krowodrza Górka,Os.Piastów,Bronowice Małe 01,25,2.4,slight_delay,0.095294,False
17,3,False,10,7,30.6,0.5,cloudy,45,0.1,77,tramwaj,HL818,10-10,Salwator–Krowodrza Górka,Rondo Hipokratesa,Czerwone Maki P+R 01,25,3.7,moderate_delay,0.14718,True
21,3,False,10,6,24.1,0.2,cloudy,89,0.5,8,tramwaj,RP646,32-03,Salwator–Krowodrza Górka,Górka Narodowa P+R,Salwator 01,40,0.0,on_time,0.0,False
19,2,False,7,8,20.8,0.8,rain,87,0.2,8,tramwaj,RZ488,35-09,Rondo Hipokratesa–Nowy Bieżanów,Salwator,Rondo Grunwaldzkie 01,20,3.7,moderate_delay,0.187274,True
5,6,True,2,22,17.7,0.2,fog,93,1.6,4,tramwaj,HG801,42-01,Rondo Grunwaldzkie–Czerwone Maki,Os.Piastów,Borek Fałęcki 01,40,1.3,slight_delay,0.03358,False
18,3,False,5,15,23.6,0.1,sunny,68,0.9,8,tramwaj,HG941,05-06,Salwator–Krowodrza Górka,Os.Piastów,Os. Piastów 01,45,2.0,slight_delay,0.044176,False
14,1,False,3,26,34.1,0.6,sunny,31,0.1,78,tramwaj,RG374,09-04,Nowy Bieżanów–Krowodrza,Rondo Hipokratesa,Czerwone Maki P+R 01,30,1.0,slight_delay,0.033453,False
23,2,False,5,12,27.6,1.8,rain,42,0.5,24,tramwaj,RF317,64-07,Czerwone Maki–Os.Piastów,Borek Fałęcki,Czerwone Maki P+R 01,30,0.5,on_time,0.016899,False
12,4,False,10,10,18.3,0.6,sunny,58,0.1,5,tramwaj,RZ246,34-03,Rondo Hipokratesa–Nowy Bieżanów,Salwator,Krowodrza Górka P+R 03,30,0.0,on_time,0.0,False
20,3,False,2,17,8.0,2.0,cloudy,84,2.8,4,tramwaj,HG862,72-09,Jarzębiny–Krowodrza,Kurdwanów P+R,Kurdwanów P+R 03,45,2.5,slight_delay,0.055387,False
17,2,False,3,17,12.5,1.6,sunny,81,1.7,50,tramwaj,HL864,75-07,Górka Narodowa–Czerwone Maki,Salwator,Borek Fałęcki 01,35,3.8,moderate_delay,0.107852,True
8,4,False,7,16,28.8,0.4,sunny,47,6.9,14,tramwaj,RG470,29-03,Rondo Hipokratesa–Nowy Bieżanów,Os.Piastów,Rondo Hipokratesa 02,20,0.2,on_time,0.010541,False
17,1,False,9,18,17.5,0.4,cloudy,46,5.9,22,tramwaj,RZ193,07-02,Mały Płaszów–Cichy Kącik,Górka Narodowa P+R,Salwator 01,35,3.9,moderate_delay,0.110735,True
11,2,False,10,26,17.7,0.1,sunny,87,2.7,11,tramwaj,RP742,21-07,Jarzębiny–Krowodrza,Nowy Bieżanów P+R,Kurdwanów P+R 03,30,0.0,on_time,0.0,False
21,0,False,8,1,33.3,0.0,sunny,49,0.2,50,tramwaj,RY494,49-10,Jarzębiny–Krowodrza,Kurdwanów P+R,Rondo Grunwaldzkie 01,20,1.3,slight_delay,0.066467,False
20,6,True,9,11,26.3,0.5,rain,65,1.2,76,tramwaj,RZ641,33-09,Rondo Grunwaldzkie–Czerwone Maki,Rondo Hipokratesa,Górka Narodowa P+R 01,20,1.5,slight_delay,0.075909,False
21,0,False,1,21,13.4,0.1,snow,35,6.0,8,tramwaj,HY796,15-09,Jarzębiny–Krowodrza,Czerwone Maki P+R,Os. Piastów 01,45,11.0,major_delay,0.244944,True
17,4,False,7,24,40.1,2.2,rain,55,1.0,72,tramwaj,HL887,44-02,Kurdwanów–Pleszów,Czerwone Maki P+R,Krowodrza Górka P+R 03,30,2.0,slight_delay,0.065014,False
9,6,True,5,6,26.0,1.0,cloudy,46,0.6,14,tramwaj,HL545,21-08,Kurdwanów–Pleszów,Borek Fałęcki,Teatr Słowackiego 01,40,4.0,moderate_delay,0.100888,True
12,1,False,12,8,12.0,0.5,cloudy,79,3.8,21,tramwaj,HY839,34-09,Górka Narodowa–Czerwone Maki,Pleszów,Krowodrza Górka P+R 03,20,0.0,on_time,0.0,False
19,6,True,5,21,31.9,1.8,sunny,67,1.9,76,tramwaj,RP619,14-05,Os.Piastów–Pleszów,Borek Fałęcki,Dworzec Towarowy 01,25,3.3,moderate_delay,0.130177,True
14,2,False,1,5,8.8,1.4,cloudy,63,1.9,3,tramwaj,HG256,48-03,Os.Piastów–Pleszów,Pleszów,Pleszów 01,30,1.8,slight_delay,0.060166,False
20,6,True,11,22,11.6,0.9,sunny,56,2.2,76,tramwaj,HY713,42-08,Rondo Hipokratesa–Nowy Bieżanów,Borek Fałęcki,Borek Fałęcki 01,40,0.6,on_time,0.014026,False
14,4,False,6,21,40.1,0.2,cloudy,78,1.4,22,tramwaj,HY214,47-05,Os.Piastów–Pleszów,Krowodrza G. P+R,Os. Piastów 01,20,4.5,moderate_delay,0.22279,True
15,6,True,1,26,11.1,0.6,snow,43,1.9,24,tramwaj,HG159,31-10,Nowy Bieżanów–Krowodrza,Czerwone Maki P+R,Teatr Słowackiego 01,25,0.3,on_time,0.012893,False
11,2,False,7,14,30.9,0.3,rain,57,0.0,72,tramwaj,RY187,63-02,Salwator–Krowodrza Górka,Bronowice Małe,Os. Piastów 01,45,4.6,moderate_delay,0.102282,True
8,1,False,3,9,9.8,0.4,sunny,37,1.8,21,tramwaj,RP231,61-09,Borek Fałęcki–Kopiec Wandy,Os.Piastów,Krowodrza Górka P+R 03,40,2.6,slight_delay,0.064807,False
6,2,False,8,27,32.2,0.1,rain,33,3.8,14,tramwaj,RP371,68-10,Salwator–Krowodrza Górka,Borek Fałęcki,Borek Fałęcki 01,40,13.1,major_delay,0.328075,True
15,3,False,6,22,25.7,0.6,sunny,37,1.3,22,tramwaj,RG316,70-04,Rondo Grunwaldzkie–Czerwone Maki,Salwator,Salwator 01,25,0.0,on_time,0.000863,False
5,3,False,1,12,11.6,0.3,sunny,40,5.4,22,tramwaj,HL508,48-08,Os.Piastów–Pleszów,Borek Fałęcki,Kurdwanów P+R 03,45,0.0,on_time,0.0,False
14,4,False,7,10,29.4,0.6,cloudy,44,1.3,4,tramwaj,RZ223,32-04,Kurdwanów–Pleszów,Salwator,Rondo Grunwaldzkie 01,35,2.4,slight_delay,0.069624,False
18,4,False,8,11,32.5,0.4,cloudy,40,3.2,24,tramwaj,RY446,03-10,Rondo Grunwaldzkie–Czerwone Maki,Borek Fałęcki,Górka Narodowa P+R 01,40,4.5,moderate_delay,0.113324,True
8,0,False,10,25,19.0,0.6,cloudy,67,1.6,50,tramwaj,HG702,29-01,Kurdwanów–Pleszów,Krowodrza G. P+R,Kurdwanów P+R 03,20,4.1,moderate_delay,0.202642,True
12,2,False,7,19,21.8,0.7,sunny,44,4.2,1,tramwaj,RY824,08-04,Mały Płaszów–Cichy Kącik,Nowy Bieżanów P+R,Pleszów 01,35,0.0,on_time,0.0,False
5,4,False,5,27,34.1,1.6,sunny,67,1.5,50,tramwaj,RY132,43-02,Mały Płaszów–Cichy Kącik,Mały Płaszów P+R,Mały Płaszów P+R 01,40,0.9,on_time,0.022543,False
8,3,False,2,27,20.3,0.6,rain,49,0.4,18,tramwaj,HG385,63-04,Nowy Bieżanów–Krowodrza,Bronowice Małe,Salwator 01,25,10.3,major_delay,0.41013,True
17,5,True,2,25,17.2,0.7,rain,34,5.1,11,tramwaj,RP840,74-10,Rondo Hipokratesa–Nowy Bieżanów,Kurdwanów P+R,Rondo Hipokratesa 02,25,0.0,on_time,0.0,False
18,0,False,6,11,24.1,2.1,cloudy,83,3.6,1,tramwaj,RZ348,61-07,Bronowice–Borek Fałęcki,Nowy Bieżanów P+R,Borek Fałęcki 01,40,3.4,moderate_delay,0.085378,True
13,2,False,4,25,10.7,1.9,sunny,88,1.2,77,tramwaj,HG196,13-07,Bronowice–Borek Fałęcki,Mały Płaszów P+R,Krowodrza Górka P+R 03,35,0.0,on_time,0.0,False
5,0,False,11,22,13.0,0.5,fog,78,1.6,11,tramwaj,RF533,53-08,Kurdwanów–Pleszów,Nowy Bieżanów P+R,Kurdwanów P+R 03,40,0.0,on_time,0.0,False
23,2,False,8,19,29.3,0.5,sunny,45,1.7,76,tramwaj,HY789,13-01,Kurdwanów–Pleszów,Borek Fałęcki,Dworzec Towarowy 01,25,0.0,on_time,0.0,False
21,1,False,6,19,27.9,1.0,sunny,61,0.6,77,tramwaj,RG845,44-02,Czerwone Maki–Os.Piastów,Rondo Hipokratesa,Kurdwanów P+R 03,35,0.0,on_time,0.0,False
11,4,False,8,1,22.3,0.1,sunny,83,0.8,8,tramwaj,HG296,25-09,Borek Fałęcki–Kopiec Wandy,Borek Fałęcki,Kurdwanów P+R 03,35,0.3,on_time,0.009743,False
6,2,False,8,14,39.5,1.6,sunny,83,0.5,52,tramwaj,RZ243,55-03,Czerwone Maki–Os.Piastów,Nowy Bieżanów P+R,Os. Piastów 01,20,0.7,on_time,0.037376,False
8,4,False,12,18,4.6,0.4,sunny,41,3.6,8,tramwaj,HL573,32-02,Bronowice–Borek Fałęcki,Krowodrza G. P+R,Czerwone Maki P+R 01,40,6.6,significant_delay,0.164922,True
16,0,False,10,24,21.9,0.1,sunny,43,2.7,3,tramwaj,RZ927,71-02,Jarzębiny–Krowodrza,Nowy Bieżanów P+R,Krowodrza Górka P+R 03,45,1.7,slight_delay,0.03784,False
17,1,False,7,5,34.2,0.2,sunny,54,1.4,21,tramwaj,HY767,70-01,Salwator–Krowodrza Górka,Salwator,Os. Piastów 01,45,7.9,significant_delay,0.17521,True
12,1,False,12,13,6.0,1.8,sunny,91,1.5,3,tramwaj,RY871,31-03,Rondo Grunwaldzkie–Czerwone Maki,Bronowice Małe,Pleszów 01,20,0.5,on_time,0.025515,False
8,2,False,10,21,20.6,1.2,cloudy,83,1.3,50,tramwaj,RG597,62-04,Nowy Bieżanów–Krowodrza,Bronowice Małe,Salwator 01,40,2.3,slight_delay,0.058116,False
19,3,False,3,3,16.4,1.6,rain,55,1.3,14,tramwaj,RG160,22-07,Jarzębiny–Krowodrza,Mały Płaszów P+R,Kurdwanów P+R 03,20,3.5,moderate_delay,0.172561,True
14,0,False,7,3,36.0,0.6,rain,41,0.9,21,tramwaj,HY499,34-08,Os.Piastów–Pleszów,Pleszów,Kurdwanów P+R 03,40,7.0,significant_delay,0.174355,True
21,6,True,12,16,14.3,1.2,sunny,54,4.7,21,tramwaj,HL533,72-08,Os.Piastów–Pleszów,Os.Piastów,Krowodrza Górka P+R 03,40,0.6,on_time,0.015265,False
14,6,True,1,23,2.5,0.3,rain,36,0.7,52,tramwaj,RP294,38-04,Nowy Bieżanów–Krowodrza,Czerwone Maki P+R,Pleszów 01,40,3.8,moderate_delay,0.094078,True
11,2,False,2,27,3.6,0.1,rain,66,1.5,21,tramwaj,HY693,70-01,Salwator–Krowodrza Górka,Mały Płaszów P+R,Kurdwanów P+R 03,35,5.2,significant_delay,0.148381,True
17,1,False,1,16,16.1,0.4,sunny,63,0.0,22,tramwaj,RF158,07-10,Czerwone Maki–Os.Piastów,Borek Fałęcki,Pleszów 01,45,3.4,moderate_delay,0.076612,True
16,0,False,8,12,21.9,0.7,rain,32,1.3,76,tramwaj,RZ614,68-03,Mały Płaszów–Cichy Kącik,Czerwone Maki P+R,Rondo Grunwaldzkie 01,40,0.0,on_time,0.0,False
18,6,True,9,15,36.3,0.1,snow,90,0.6,9,tramwaj,HY620,11-03,Salwator–Krowodrza Górka,Mały Płaszów P+R,Dworzec Towarowy 01,45,12.1,major_delay,0.267945,True
11,3,False,4,27,26.8,0.2,cloudy,86,0.5,72,tramwaj,RY709,09-04,Rondo Hipokratesa–Nowy Bieżanów,Borek Fałęcki,Nowy Bieżanów P+R 01,45,0.5,on_time,0.010557,False
19,6,True,1,9,7.8,1.1,sunny,32,3.4,9,tramwaj,RG222,73-04,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Krowodrza Górka P+R 03,35,0.0,on_time,0.0,False
13,2,False,11,28,13.4,1.4,rain,69,5.4,20,tramwaj,HY734,11-07,Os.Piastów–Pleszów,Czerwone Maki P+R,Nowy Bieżanów P+R 01,35,1.4,slight_delay,0.039085,False
12,2,False,5,16,20.0,0.2,sunny,69,4.3,77,tramwaj,RF367,27-06,Rondo Hipokratesa–Nowy Bieżanów,Borek Fałęcki,Nowy Bieżanów P+R 01,25,0.0,on_time,0.0,False
17,4,False,1,6,16.6,0.2,rain,77,2.5,20,tramwaj,HG371,51-03,Jarzębiny–Krowodrza,Salwator,Os. Piastów 01,35,6.4,significant_delay,0.184242,True
11,4,False,11,13,16.0,0.3,cloudy,60,0.0,3,tramwaj,HL568,41-02,Rondo Grunwaldzkie–Czerwone Maki,Nowy Bieżanów P+R,Czerwone Maki P+R 01,40,0.6,on_time,0.015662,False
21,0,False,1,8,14.5,0.6,cloudy,59,0.0,14,tramwaj,HY569,80-10,Czerwone Maki–Os.Piastów,Rondo Hipokratesa,Rondo Hipokratesa 02,45,0.0,on_time,0.0,False
8,3,False,4,18,24.5,0.5,rain,79,9.2,50,tramwaj,RY175,69-04,Rondo Grunwaldzkie–Czerwone Maki,Górka Narodowa P+R,Pleszów 01,30,4.9,moderate_delay,0.163124,True
15,0,False,6,15,39.4,0.6,sunny,75,1.3,5,tramwaj,HL235,45-02,Kurdwanów–Pleszów,Borek Fałęcki,Teatr Słowackiego 01,20,3.3,moderate_delay,0.164638,True
6,6,True,4,22,22.6,1.5,fog,48,0.6,4,tramwaj,HG478,37-03,Os.Piastów–Pleszów,Kurdwanów P+R,Os. Piastów 01,35,2.6,slight_delay,0.074624,False
7,0,False,9,24,32.7,0.3,fog,75,0.5,11,tramwaj,RZ953,70-05,Os.Piastów–Pleszów,Czerwone Maki P+R,Mały Płaszów P+R 01,30,7.4,significant_delay,0.245264,True
7,3,False,9,14,36.8,0.1,sunny,77,1.4,3,tramwaj,HY783,71-05,Nowy Bieżanów–Krowodrza,Mały Płaszów P+R,Pleszów 01,40,4.8,moderate_delay,0.119354,True
22,5,True,6,11,34.7,0.8,rain,80,0.2,72,tramwaj,RY999,18-05,Rondo Grunwaldzkie–Czerwone Maki,Krowodrza G. P+R,Rondo Grunwaldzkie 01,45,4.0,moderate_delay,0.088372,True
14,1,False,12,1,6.7,0.3,rain,55,1.0,3,tramwaj,RY209,71-03,Bronowice–Borek Fałęcki,Nowy Bieżanów P+R,Os. Piastów 01,45,3.6,moderate_delay,0.079606,True
19,1,False,10,23,24.1,0.1,cloudy,38,5.5,10,tramwaj,HL388,78-04,Jarzębiny–Krowodrza,Czerwone Maki P+R,Rondo Hipokratesa 02,25,2.2,slight_delay,0.086136,False
19,2,False,7,11,33.7,0.8,sunny,32,0.1,18,tramwaj,RF308,34-09,Os.Piastów–Pleszów,Czerwone Maki P+R,Salwator 01,35,4.2,moderate_delay,0.120143,True
23,6,True,4,13,23.1,0.8,sunny,47,2.1,8,tramwaj,RZ357,07-02,Nowy Bieżanów–Krowodrza,Krowodrza G. P+R,Pleszów 01,30,0.0,on_time,0.0,False
23,2,False,6,15,28.5,1.0,cloudy,90,3.7,8,tramwaj,RG949,36-01,Mały Płaszów–Cichy Kącik,Rondo Hipokratesa,Rondo Hipokratesa 02,45,0.0,on_time,0.0,False
22,0,False,3,9,25.1,0.3,cloudy,63,3.1,10,tramwaj,HY441,17-05,Rondo Hipokratesa–Nowy Bieżanów,Borek Fałęcki,Borek Fałęcki 01,25,0.8,on_time,0.030336,False
16,2,False,2,8,9.1,1.1,sunny,71,0.5,24,tramwaj,RP859,57-09,Czerwone Maki–Os.Piastów,Nowy Bieżanów P+R,Górka Narodowa P+R 01,40,2.1,slight_delay,0.051487,False
19,5,True,8,7,38.9,0.1,sunny,57,0.6,8,tramwaj,RG674,02-02,Górka Narodowa–Czerwone Maki,Kurdwanów P+R,Nowy Bieżanów P+R 01,35,1.3,slight_delay,0.036222,False
15,1,False,3,22,15.5,0.2,cloudy,30,1.2,11,tramwaj,RY807,20-09,Os.Piastów–Pleszów,Rondo Hipokratesa,Kurdwanów P+R 03,20,0.0,on_time,0.0,False
15,4,False,5,12,32.3,1.2,sunny,35,0.5,78,tramwaj,HY954,48-10,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Krowodrza Górka P+R 03,40,0.1,on_time,0.003649,False
10,4,False,5,27,25.5,0.0,rain,82,1.3,20,tramwaj,RP540,17-01,Czerwone Maki–Os.Piastów,Krowodrza G. P+R,Czerwone Maki P+R 01,40,4.7,moderate_delay,0.117032,True
19,2,False,2,23,6.8,0.0,sunny,79,0.5,11,tramwaj,HL473,06-06,Czerwone Maki–Os.Piastów,Salwator,Kurdwanów P+R 03,40,2.4,slight_delay,0.060736,False
19,1,False,1,23,9.7,0.0,rain,55,4.1,11,tramwaj,HG798,32-02,Kurdwanów–Pleszów,Rondo Hipokratesa,Pleszów 01,20,4.8,moderate_delay,0.241708,True
23,6,True,5,16,20.4,0.8,fog,92,7.6,14,tramwaj,RF898,72-07,Jarzębiny–Krowodrza,Krowodrza G. P+R,Górka Narodowa P+R 01,40,0.5,on_time,0.012525,False
15,3,False,2,6,19.1,1.2,cloudy,52,1.1,20,tramwaj,RP342,21-03,Kurdwanów–Pleszów,Mały Płaszów P+R,Rondo Grunwaldzkie 01,45,0.0,on_time,0.0,False
5,3,False,10,7,9.9,0.4,sunny,64,0.5,20,tramwaj,RG125,23-06,Borek Fałęcki–Kopiec Wandy,Mały Płaszów P+R,Rondo Grunwaldzkie 01,45,1.1,slight_delay,0.023809,False
18,0,False,3,21,15.4,0.3,rain,55,0.2,8,tramwaj,RG921,32-05,Czerwone Maki–Os.Piastów,Salwator,Dworzec Towarowy 01,35,4.3,moderate_delay,0.123503,True
10,5,True,2,12,16.6,0.2,snow,44,0.4,22,tramwaj,RP906,14-07,Bronowice–Borek Fałęcki,Borek Fałęcki,Czerwone Maki P+R 01,45,2.5,slight_delay,0.054558,False
18,2,False,12,3,7.0,0.9,sunny,33,3.5,20,tramwaj,HY979,61-04,Salwator–Krowodrza Górka,Rondo Hipokratesa,Os. Piastów 01,40,1.0,slight_delay,0.025959,False
21,1,False,10,24,21.9,0.8,sunny,74,2.0,22,tramwaj,HG936,59-06,Salwator–Krowodrza Górka,Bronowice Małe,Salwator 01,40,0.6,on_time,0.013812,False
13,1,False,9,15,18.6,0.9,snow,78,0.5,8,tramwaj,HL940,30-04,Mały Płaszów–Cichy Kącik,Czerwone Maki P+R,Nowy Bieżanów P+R 01,30,11.3,major_delay,0.375816,True
11,1,False,9,18,23.6,0.3,rain,78,2.7,3,tramwaj,HY775,25-07,Kurdwanów–Pleszów,Nowy Bieżanów P+R,Górka Narodowa P+R 01,20,1.0,slight_delay,0.051093,False
9,6,True,3,28,18.4,0.1,sunny,86,1.4,3,tramwaj,RF385,09-05,Borek Fałęcki–Kopiec Wandy,Nowy Bieżanów P+R,Górka Narodowa P+R 01,25,0.0,on_time,0.0,False
11,0,False,1,11,11.8,0.6,rain,65,0.2,1,tramwaj,RF756,66-07,Mały Płaszów–Cichy Kącik,Borek Fałęcki,Krowodrza Górka P+R 03,20,0.2,on_time,0.011847,False
13,6,True,4,13,15.4,1.2,rain,50,0.6,11,tramwaj,RF128,15-05,Czerwone Maki–Os.Piastów,Borek Fałęcki,Salwator 01,35,0.7,on_time,0.021119,False
7,5,True,6,2,40.0,0.3,rain,73,0.2,8,tramwaj,RP694,34-01,Jarzębiny–Krowodrza,Nowy Bieżanów P+R,Os. Piastów 01,45,4.0,moderate_delay,0.088824,True
20,3,False,8,20,18.0,0.1,fog,34,2.7,21,tramwaj,RY710,56-06,Kurdwanów–Pleszów,Krowodrza G. P+R,Rondo Grunwaldzkie 01,40,0.0,on_time,0.0,False
22,6,True,1,21,13.0,0.9,rain,52,0.6,3,tramwaj,RF546,78-09,Jarzębiny–Krowodrza,Salwator,Czerwone Maki P+R 01,30,1.1,slight_delay,0.035805,False
5,2,False,3,20,16.2,1.0,rain,51,1.4,8,tramwaj,RY494,74-04,Mały Płaszów–Cichy Kącik,Os.Piastów,Rondo Hipokratesa 02,20,0.1,on_time,0.004465,False
22,4,False,3,24,25.6,0.1,rain,43,0.2,4,tramwaj,HL145,56-01,Czerwone Maki–Os.Piastów,Pleszów,Czerwone Maki P+R 01,30,1.5,slight_delay,0.051156,False
22,1,False,9,2,26.8,0.5,cloudy,81,1.4,14,tramwaj,HG472,56-02,Bronowice–Borek Fałęcki,Krowodrza G. P+R,Teatr Słowackiego 01,40,0.9,on_time,0.022067,False
6,3,False,9,15,27.3,1.7,sunny,42,5.5,78,tramwaj,RF738,41-02,Czerwone Maki–Os.Piastów,Rondo Hipokratesa,Dworzec Towarowy 01,45,0.5,on_time,0.012168,False
6,3,False,7,19,39.9,0.1,rain,40,2.8,50,tramwaj,HL619,40-07,Jarzębiny–Krowodrza,Nowy Bieżanów P+R,Borek Fałęcki 01,20,0.0,on_time,0.0,False
23,6,True,12,1,13.0,1.3,sunny,81,0.4,5,tramwaj,RF512,38-09,Rondo Grunwaldzkie–Czerwone Maki,Bronowice Małe,Bronowice Małe 01,25,0.0,on_time,0.000122,False
7,6,True,11,28,9.1,0.4,fog,84,1.1,9,tramwaj,RP296,54-07,Górka Narodowa–Czerwone Maki,Os.Piastów,Bronowice Małe 01,25,1.6,slight_delay,0.064992,False
17,4,False,10,18,14.8,0.0,rain,89,2.1,78,tramwaj,RP730,73-05,Salwator–Krowodrza Górka,Salwator,Os. Piastów 01,45,2.0,slight_delay,0.044044,False
22,2,False,9,20,25.2,1.6,rain,93,3.1,14,tramwaj,RG661,01-05,Jarzębiny–Krowodrza,Kurdwanów P+R,Czerwone Maki P+R 01,35,1.3,slight_delay,0.036133,False
5,1,False,2,26,16.9,1.3,sunny,37,4.5,11,tramwaj,HL315,56-10,Kurdwanów–Pleszów,Kurdwanów P+R,Rondo Hipokratesa 02,40,0.0,on_time,0.0,False
16,0,False,7,5,37.8,0.8,rain,46,6.3,11,tramwaj,RF576,57-08,Rondo Hipokratesa–Nowy Bieżanów,Górka Narodowa P+R,Pleszów 01,35,8.7,significant_delay,0.248927,True
15,1,False,5,5,32.1,0.2,rain,37,2.9,14,tramwaj,HG623,61-03,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Borek Fałęcki 01,20,2.0,slight_delay,0.100673,False
22,1,False,5,4,33.7,1.0,cloudy,40,0.1,72,tramwaj,RY390,66-10,Nowy Bieżanów–Krowodrza,Czerwone Maki P+R,Bronowice Małe 01,20,2.9,slight_delay,0.144033,False
22,5,True,4,20,18.7,1.6,sunny,61,0.8,10,tramwaj,RF195,31-05,Kurdwanów–Pleszów,Rondo Hipokratesa,Krowodrza Górka P+R 03,25,0.0,on_time,0.0,False
12,5,True,8,14,36.0,0.1,sunny,51,1.6,22,tramwaj,HG925,26-03,Czerwone Maki–Os.Piastów,Czerwone Maki P+R,Teatr Słowackiego 01,40,3.7,moderate_delay,0.093183,True
19,2,False,7,24,27.2,0.7,cloudy,32,0.7,77,tramwaj,HY147,32-08,Salwator–Krowodrza Górka,Nowy Bieżanów P+R,Rondo Hipokratesa 02,20,0.0,on_time,0.0,False
14,1,False,8,1,35.2,0.2,rain,93,3.2,20,tramwaj,RY566,54-10,Jarzębiny–Krowodrza,Os.Piastów,Górka Narodowa P+R 01,45,3.5,moderate_delay,0.07834,True
13,4,False,9,20,34.2,0.9,cloudy,43,2.8,78,tramwaj,HG835,50-08,Os.Piastów–Pleszów,Borek Fałęcki,Dworzec Towarowy 01,45,9.5,significant_delay,0.212057,True
8,6,True,4,20,15.9,0.1,sunny,83,2.4,18,tramwaj,RG349,19-01,Bronowice–Borek Fałęcki,Górka Narodowa P+R,Rondo Hipokratesa 02,20,1.4,slight_delay,0.072191,False
